key_quantity,value,meaning,dependent_on_other_kq,dependent_kq,dependent_on_other_fxn_args,fxn_with_other_args
B.BMSY.end.yr,,biomass relative to BMSY in the final year,,,,
B.end.year,,final year of the biomass time series,,,,
B.max,,maximum biomass,,,,
B.min,,minimum biomass,,,,
B.ref.pt,,biomass limit reference point,,,,
B.start.year,,start year of the biomass time series,,,,
B.units,,units of biomass measurement,,,,
Bend,,biomass at the end of the time series,,,,
Bmsy,,biomass at maximum sustainable yield,,,,
Btarg,,target biomass reference point,,,,
caa.age.max,,maximum age in catch-at-age data,,,,
caa.age.min,,minimum age in catch-at-age data,,,,
caa.end.year,,final year for catch-at-age data,,,,
caa.start.year,,start year for catch-at-age data,,,,
cal.length.max,,maximum length in catch-at-length histograms,,,,
cal.length.min,,minimum length in catch-at-length histograms,,,,
cpue.end.year,,final year of the CPUE time series,,,,
cpue.max,,maximum catch per unit effort,,,,
cpue.min,,minimum catch per unit effort,,,,
cpue.start.year,,start year of the CPUE time series,,,,
cpue.units,,units for catch per unit effort,,,,
F.FMSY.end.yr,,fishing mortality relative to FMSY in the final year,,,,
F.end.year,,final year of the fishing mortality time series,,,,
F.max,,maximum fishing mortality,,,,
F.min,,minimum fishing mortality,,,,
F.ref.pt,,fishing mortality limit reference point,,,,
F.start.year,,start year of the fishing mortality time series,,,,
fecundity.length.max,,maximum fish length for fecundity relationship,,,,
fecundity.length.min,,minimum fish length for fecundity relationship,,,,
fecundity.length.units,,length units for fecundity measurement,,,,
fecundity.max,,maximum observed fecundity,,,,
fecundity.min,,minimum observed fecundity,,,,
fecundity.units,,units for fecundity (number of eggs),,,,
fork.length.max,,maximum fork length,,,,
fork.length.min,,minimum fork length,,,,
fork.length.units,,units for fork length,,,,
Ftarg,,target fishing mortality reference point,,,,
kobe.end.year,,final year displayed on the Kobe plot,,,,
landings.end.year,,final year of historical landings data,,,,
landings.max,,maximum historical landings,,,,
landings.min,,minimum historical landings,,,,
landings.start.year,,start year of historical landings data,,,,
landings.units,,units for landings,,,,
M.age.max,,maximum age for natural mortality,,,,
M.age.min,,minimum age for natural mortality,,,,
M.rate.max,,maximum natural mortality rate,,,,
M.rate.min,,minimum natural mortality rate,,,,
mod.fit.abun.end.year,,final year for model fit to abundance index,,,,
mod.fit.abun.start.year,,start year for model fit to abundance index,,,,
mod.fit.catch.end.year,,final year for model fit to catch data,,,,
mod.fit.catch.max,,maximum model estimated catch,,,,
mod.fit.catch.min,,minimum model estimated catch,,,,
mod.fit.catch.start.year,,start year for model fit to catch data,,,,
mod.fit.catch.units,,units for model estimated catch,,,,
mod.fit.discards.end.year,,final year for model fit to discards,,,,
mod.fit.discards.max,,maximum estimated discards,,,,
mod.fit.discards.min,,minimum estimated discards,,,,
mod.fit.discards.start.year,,start year for model fit to discards,,,,
mod.fit.discards.units,,units for estimated discards,,,,
overfished.status.is.isnot,,indicator of overfished status,,,,
overfishing.status.is.isnot,,indicator of overfishing status,,,,
pop.baa.age.max,,maximum age for biomass-at-age data,,,,
pop.baa.age.min,,minimum age for biomass-at-age data,,,,
pop.baa.end.year,,final year for biomass-at-age data,,,,
pop.baa.fish.max,,maximum bubble size for biomass-at-age,,,,
pop.baa.fish.min,,minimum bubble size for biomass-at-age,,,,
pop.baa.start.year,,start year for biomass-at-age data,,,,
pop.naa.age.max,,maximum age for numbers-at-age data,,,,
pop.naa.age.min,,minimum age for numbers-at-age data,,,,
pop.naa.end.year,,final year for numbers-at-age data,,,,
pop.naa.fish.max,,maximum bubble size for numbers-at-age,,,,
pop.naa.fish.min,,minimum bubble size for numbers-at-age,,,,
pop.naa.start.year,,start year for numbers-at-age data,,,,
proj.catch.end.year,,final year of catch projections,,,,
proj.catch.min,,minimum forecasted catch,,,,
proj.catch.start.year,,start year of catch projections,,,,
proj.catch.units,,units for projected catch,,,,
prop.mat.length.max,,maximum length for maturity schedule,,,,
prop.mat.length.min,,minimum length for maturity schedule,,,,
prop.mat.length.units,,length units for maturity data,,,,
R0,,unfished equilibrium recruitment,,,,
recruit.dev.end.year,,final year of recruitment deviations,,,,
recruit.dev.max,,maximum recruitment deviation,,,,
recruit.dev.min,,minimum recruitment deviation,,,,
recruit.dev.start.year,,start year of recruitment deviations,,,,
recruitment.end.year,,final year of estimated recruitment,,,,
recruitment.max,,maximum estimated recruitment,,,,
recruitment.min,,minimum estimated recruitment,,,,
recruitment.start.year,,start year of estimated recruitment,,,,
recruitment.units,,units for recruitment,,,,
rel.B.max,,maximum relative biomass,,,,
rel.B.min,,minimum relative biomass,,,,
rel.F.max,,maximum relative fishing mortality,,,,
rel.F.min,,minimum relative fishing mortality,,,,
rel.recruitment.max,,maximum relative recruitment (R/R0),,,,
rel.recruitment.min,,minimum relative recruitment (R/R0),,,,
rel.ssb.max,,maximum relative spawning biomass,,,,
rel.ssb.min,,minimum relative spawning biomass,,,,
selectivity.end.year,,final year for selectivity estimates,,,,
selectivity.length.max,,maximum length for gear selectivity,,,,
selectivity.length.min,,minimum length for gear selectivity,,,,
selectivity.length.units,,units for selectivity length,,,,
selectivity.start.year,,start year for selectivity estimates,,,,
spr.max,,maximum spawning potential ratio,,,,
spr.min,,minimum spawning potential ratio,,,,
spr.ref.pt,,spawning potential ratio reference point,,,,
sr.age.min,,age of newly recruited fish in SR model,,,,
sr.ssb.max,,maximum SSB in stock-recruit relationship,,,,
sr.ssb.min,,minimum SSB in stock-recruit relationship,,,,
sr.ssb.units,,units for SSB in stock-recruit relationship,,,,
ssb.end.year,,final year of the SSB time series,,,,
ssb.max,,maximum spawning biomass,,,,
ssb.min,,minimum spawning biomass,,,,
ssb.ref.pt,,spawning biomass reference point,,,,
ssb.start.year,,start year of the SSB time series,,,,
ssb.units,,units for spawning biomass,,,,
tot.catch.max,,maximum total catch,,,,
tot.catch.min,,minimum total catch,,,,
total.length.max,,maximum total length,,,,
total.length.min,,minimum total length,,,,
total.length.units,,units for total length,,,,
vonb.age.max,,maximum age for von Bertalanffy growth,,,,
vonb.age.min,,minimum age for von Bertalanffy growth,,,,
vonb.length.max,,maximum length for von Bertalanffy growth,,,,
vonb.length.min,,minimum length for von Bertalanffy growth,,,,
vonb.length.units,,units for length in growth model,,,,
wl.length.max,,maximum length for weight-length relationship,,,,
wl.length.min,,minimum length for weight-length relationship,,,,
wl.length.units,,length units for weight-length conversion,,,,
wl.weight.max,,maximum weight for weight-length relationship,,,,
wl.weight.min,,minimum weight for weight-length relationship,,,,
wl.weight.units,,weight units for weight-length conversion,,,,
