alt_label,label,module_name
,beta_rec_pars,estimated_paramters
ln_catch_sd,catch_ln_sd,estimated_paramters
composition_weights,comp_weights,estimated_paramters
diet_composition_weights,diet_comp_weights,estimated_paramters
,dummy,estimated_paramters
,index_ln_q,estimated_paramters
,index_ln_sd,estimated_paramters
,index_q_beta,estimated_paramters
,index_q_dev,estimated_paramters
,index_q_dev_ln_sd,estimated_paramters
,index_q_ln_sd,estimated_paramters
,index_q_rho,estimated_paramters
,init_dev,estimated_paramters
ln_fishing_mortality,ln_F,estimated_paramters
ln_fishing_mortality_initial,ln_Finit,estimated_paramters
ln_fishing_mortality_limit,ln_Flimit,estimated_paramters
ln_fishing_mortality_target,ln_Ftarget,estimated_paramters
ln_natural_mortality,ln_M1,estimated_paramters
ln_natural_mortality_deviations,ln_M1_dev,estimated_paramters
,ln_pop_scalar,estimated_paramters
,ln_sel_slp,estimated_paramters
,ln_sel_slp_dev,estimated_paramters
,log_gam_a,estimated_paramters
,log_gam_b,estimated_paramters
,log_phi,estimated_paramters
,M1_beta,estimated_paramters
,M1_dev_ln_sd,estimated_paramters
,M1_rho,estimated_paramters
fishing_mortality_proportion,proj_F_prop,estimated_paramters
recruitment_deviations_sd,R_ln_sd,estimated_paramters
recruitment_deviations,rec_dev,estimated_paramters
recruitment_parameters,rec_pars,estimated_paramters
,sel_coff,estimated_paramters
,sel_coff_dev,estimated_paramters
,sel_curve_pen,estimated_paramters
,sel_dev_ln_sd,estimated_paramters
,sel_inf,estimated_paramters
,sel_inf_dev,estimated_paramters
catch,age_hat,quantities
catch_adjusted,age_obs_hat,quantities
,avail_food,quantities
revcruitment,avg_R,quantities
selectivity,avg_sel,quantities
abundance,avgN_at_age,quantities
,B_eaten,quantities
,B_eaten_as_pred,quantities
,B_eaten_as_prey,quantities
biomass_unfished,B0,quantities
,biomass,quantities
biomass,biomass_at_age,quantities
biomass_biomass_unfished,biomass_depletion,quantities
landings,catch_hat,quantities
,comp_hat,quantities
,consumption_at_age,quantities
diet_proportion,diet_prop,quantities
,diet_prop_hat,quantities
biomass,DynamicB0,quantities
spawning_biomass,DynamicSB0,quantities
spawning_biomass,DynamicSBF,quantities
fishing_mortality,F_at_age,quantities
fishing_mortality,F_flt,quantities
fishing_mortality,F_flt_age,quantities
fishing_mortality,F_spp,quantities
fishing_mortality_limit,Flimit,quantities
,fT,quantities
fishing_mortality_target,Ftarget,quantities
,gam_a,quantities
,gam_b,quantities
,index_hat,quantities
,index_q,quantities
,jnll,quantities
,jnll_comp,quantities
,ln_catch_sd,quantities
,ln_index_sd,quantities
,log_index_hat,quantities
log_spawning_biomass,log_ssb,quantities
natural_mortality,M_at_age,quantities
M1,M1_at_age,quantities
M2,M2_at_age,quantities
M2_proportion,M2_prop,quantities
,NByage0,quantities
,NByageF,quantities
,NbyageSPR,quantities
,non_par_sel,quantities
,other_food_diet_prop,quantities
,pop_scalar,quantities
fishing_mortality,proj_F,quantities
recruitment,R,quantities
recruitment_hat,R_hat,quantities
recruitment_initial,R_init,quantities
recruitment_sd,R_sd,quantities
R0,R0,quantities
,ration,quantities
spawning_biomass_f0,SB0,quantities
spawning_biomass_f_target,SBF,quantities
selectivity,sel,quantities
,sel_curve_pen,quantities
,SPR0,quantities
SPR_initial,SPRFinit,quantities
SPR_limit,SPRlimit,quantities
SPR_target,SPRtarget,quantities
spawning_biomass,ssb,quantities
spawning_biomass_depletion,ssb_depletion,quantities
,steepness,quantities
,suit_other,quantities
,suitability,quantities
,true_age_comp_hat,quantities
,unweighted_jnll_comp,quantities
,vulnerability,quantities
,vulnerability_other,quantities
total_mortality,Z_at_age,quantities
,nspp,data_list
start_year,styr,data_list
end_year,endyr,data_list
projection_year,projyr,data_list
species_name,spnames,data_list
number_sex,nsex,data_list
spawning_month,spawn_month,data_list
number_ages,nages,data_list
,minage,data_list
,nlengths,data_list
,pop_wt_index,data_list
,ssb_wt_index,data_list
,pop_age_transition_index,data_list
,sigma_rec_prior,data_list
,other_food,data_list
,estDynamics,data_list
,est_M1,data_list
,fleet_control,data_list
,comp_data,data_list
,emp_sel,data_list
,NByageFixed,data_list
,age_trans_matrix,data_list
,age_error,data_list
,sex_ratio,data_list
,M1_base,data_list
,Ceq,data_list
,Cindex,data_list
,Pvalue,data_list
,fday,data_list
,CA,data_list
,CB,data_list
,Qc,data_list
,Tco,data_list
,Tcm,data_list
,Tcl,data_list
,CK1,data_list
,CK4,data_list
,env_data,data_list
catch,catch_data,data_list
indices,index_data,data_list
,maturity,data_list
weight,weight,data_list
,diet_data,data_list
,Diet_comp_weights,data_list
,ration_data,data_list
,MSSB0,data_list
,MSB0,data_list
,random_rec,data_list
,estimateMode,data_list
,niter,data_list
,avgnMode,data_list
,initMode,data_list
,msmMode,data_list
,HCR,data_list
,DynamicHCR,data_list
fishing_mortality_target,Ftarget,data_list
fishing_mortality_limit,Flimit,data_list
,Ptarget,data_list
,Plimit,data_list
,Alpha,data_list
,Pstar,data_list
,Sigma,data_list
,Fmult,data_list
,QnormHCR,data_list
