module_name,alt_module_name,label,alt_label
DERIVED_QUANTITIES,reference_point,SSB_Virgin,spawning_biomass_unfished
DERIVED_QUANTITIES,reference_point,SSB_Initial,spawning_biomass_initial
DERIVED_QUANTITIES,population,SSB,spawning_biomass
DERIVED_QUANTITIES,reference_point,Recr_Virgin,spawning_biomass
DERIVED_QUANTITIES,reference_point,Recr_Initial,recruitment_initial
DERIVED_QUANTITIES,recruitment,Recr,recruitment
DERIVED_QUANTITIES,reference_point,SPRratio,spawning_potential_ratio_ratio
AGE_SELEX,selectivity,F,fishing_mortality
DERIVED_QUANTITIES,reference_point,F,fishing_mortality
F_AT_AGE,fleet,F,fishing_mortality
AGE_SELEX,reference_point,F,fishing_mortality
DERIVED_QUANTITIES,reference_point,F,fishing_mortality
F_AT_AGE,reference_point,F,fishing_mortality
AGE_SELEX,reference_point,F,fishing_mortality
DERIVED_QUANTITIES,reference_point,F,fishing_mortality
F_AT_AGE,reference_point,F,fishing_mortality
DERIVED_QUANTITIES,reference_point,Bratio,biomass_ratio
DERIVED_QUANTITIES,reference_point,SSB_unfished,spawning_biomass_unfished
DERIVED_QUANTITIES,reference_point,Totbio_unfished,biomass_unfished
DERIVED_QUANTITIES,reference_point,SmryBio_unfished,biomass_unfished_midyear
DERIVED_QUANTITIES,reference_point,Recr_unfished,recruitment_unfished
DERIVED_QUANTITIES,reference_point,SSB_Btgt,spawning_biomass_at_biomass_target
DERIVED_QUANTITIES,reference_point,SPR_Btgt,spawning_potential_ratio_biomass_target
DERIVED_QUANTITIES,reference_point,annF_Btgt,annual_F_biomass_target
DERIVED_QUANTITIES,reference_point,Dead_Catch_Btgt,dead_catch_biomass_target
DERIVED_QUANTITIES,reference_point,SSB_SPR,spawning_biomass_spawning_potential_ratio
DERIVED_QUANTITIES,reference_point,annF_SPR,fishing_mortality_spawning_potential_ratio
DERIVED_QUANTITIES,reference_point,Dead_Catch_SPR,dead_catch_spawning_potential_ratio
DERIVED_QUANTITIES,population,SSB_MSY,spawning_biomass_msy
DERIVED_QUANTITIES,reference_point,SPR_MSY,spawning_potential_ratio_msy
DERIVED_QUANTITIES,population,annF_MSY,f_msy
DERIVED_QUANTITIES,population,Dead_Catch_MSY,dead_catch_msy
DERIVED_QUANTITIES,growth,Ret_Catch_MSY,catch_msy
DERIVED_QUANTITIES,growth,B_MSY/SSB_unfished,biomass_msy_spawning_biomass_msy
DERIVED_QUANTITIES,growth,ForeCatch,catch
DERIVED_QUANTITIES,growth,OFLCatch,catch_ofl
DERIVED_QUANTITIES,growth,ForeCatchret,catch_retained
DERIVED_QUANTITIES,growth,ln(SPB),ln_spb
MGparm_By_Year_after_adjustments,growth,change?,
MGparm_By_Year_after_adjustments,growth,natm_uniform,
MGparm_By_Year_after_adjustments,growth,l_at_amin,length_at_age_min
MGparm_By_Year_after_adjustments,growth,l_at_amax,length_at_age_max
MGparm_By_Year_after_adjustments,growth,vonbert_k,k
MGparm_By_Year_after_adjustments,growth,cv_young,
MGparm_By_Year_after_adjustments,growth,cv_old,
MGparm_By_Year_after_adjustments,growth,wtlen,
MGparm_By_Year_after_adjustments,fleet,mat50%,
MGparm_By_Year_after_adjustments,fleet,mat_slope,
MGparm_By_Year_after_adjustments,fleet,eggs/kg_inter,
MGparm_By_Year_after_adjustments,fleet,eggs/kg_slope_wt,
MGparm_By_Year_after_adjustments,age,cohortgrowdev,
MGparm_By_Year_after_adjustments,fleet,fracfemale,proportion_female
OVERALL_COMPS,fleet,freq,
OVERALL_COMPS,fleet,cum,
OVERALL_COMPS,fleet,female,
OVERALL_COMPS,fleet,male,
BIOMASS_AT_AGE,fleet,biomass,
CATCH,fleet,obs,landings_observed_weight
INDEX_2,fleet,obs,indices_observed
CATCH,fleet,exp,landings_predicted_weight
INDEX_2,fleet,exp,indices_predicted
CATCH,fleet,mult,
CATCH,fleet,exp*mult,
CATCH,fleet,f,
CATCH,fleet,like,
INDEX_2,fleet,like,
CATCH,fleet,sel_bio,
CATCH,age,kill_bio,
CATCH,growth,ret_bio,catch_weight
CATCH,age,sel_num,
CATCH,length,kill_num,
CATCH,recruitment,ret_num,catch_numbers
CATCH,population,discard,discards_weight
CATCH_AT_AGE,recruitment,catch,catch_weight
MEAN_SIZE_TIMESERIES,recruitment,mean_size,
NUMBERS_AT_AGE,recruitment,numbers,abundance
NUMBERS_AT_LENGTH,recruitment,numbers,abundance
SPAWN_RECRUIT,fleet,spawnbio,spawning_biomass
TIME_SERIES,recruitment,spawnbio,spawning_biomass
SPAWN_RECRUIT,recruitment,exp_recr,expected_recruitment
SPAWN_RECRUIT,recruitment,with_regime,
SPAWN_RECRUIT,population,bias_adjusted,
SPAWN_RECRUIT,recruitment,pred_recr,predicted_recruitment
INDEX_2,population,dev,
SPAWN_RECRUIT,recruitment,dev,recruitment_deviations
SPAWN_RECRUIT,population,biasadjuster,
SPAWN_RECRUIT,population,mature_bio,mature_biomass
TIME_SERIES,population,mature_bio,mature_biomass
SPAWN_RECRUIT,population,mature_num,mature_abundance
TIME_SERIES,population,mature_num,mature_abundance
SPAWN_RECRUIT,population,raw_dev,
TIME_SERIES,population,bio_all,biomass
TIME_SERIES,population,bio_smry,biomass_midyear
TIME_SERIES,population,recruit,recruitment
TIME_SERIES,population,smrybio,biomass_midyear
TIME_SERIES,population,smrynum,abundance_midyear
TIME_SERIES,population,sel(b),biomass
TIME_SERIES,population,dead(b),biomass_dead
TIME_SERIES,population,retain(b),biomass_retained
TIME_SERIES,fleet,sel(n),numbers
TIME_SERIES,fleet,dead(n),numbers_dead
TIME_SERIES,fleet,retain(n),numbers_retained
TIME_SERIES,fleet,obs_cat,catch_observed
TIME_SERIES,fleet,ssb_vir_lh,spawning_biomass_unfished
TIME_SERIES,fleet,abc_buffer,
INDEX_2,fleet,month,
,fleet,std_in,
INDEX_2,fleet,like+log(s),
INDEX_2,fleet,suprper,
,fleet,exp_cat,catch_expected
,fleet,catch_mult,
,fleet,exp_cat*catch_mult,
,age,f_rate,
CATCH,age,vuln_bio,
INDEX_2,age,vuln_bio,
INDEX_2,age,calc_q,
INDEX_2,age,eff_q,
INDEX_2,fleet,use,
AGE_SELEX,fleet,sel,
AGE_SELEX,fleet,Fecund,fecundity
AGE_SELEX,fleet,bodywt,body_weight
AGE_SELEX,fleet,dead_nums,dead_numbers
AGE_SELEX,population,dead*wt,
,population,Ret,
,population,Mort,
,age,Keep,
,age,Dead,
,age,Dynamic_Bzero,biomass_zero
Kobe_Plot,age,b/bmsy,b_bmsy
Kobe_Plot,age,f/fmsy,f_fmsy
,age,Fstd_Btgt,
AGE_SELEX,age,Asel,selectivity
AGE_SELEX,age,Fecund,fecundity
AGE_SELEX,parameter,Asel2,size_selectivity_size_at_age
AGE_SELEX,parameter,sel*wt,
AGE_SELEX,parameter,sel*ret*wt,
AGE_SELEX,parameter,sel_nums,
AGE_SELEX,parameter,sel*ret_nums,
AGE_SELEX,parameter,Aret,retention
PARAMETERS,parameter,NatM_uniform,natural_mortality_uniform
PARAMETERS,parameter,L_at_Amin,length_at_age_min
PARAMETERS,parameter,L_at_Amax,length_at_age_max
PARAMETERS,parameter,VonBert_K,k
PARAMETERS,parameter,SD_young,sd_young
PARAMETERS,parameter,SD_old,sd_old
PARAMETERS,parameter,Wtlen,weight_length
PARAMETERS,parameter,Mat50%,maturity_50
PARAMETERS,parameter,Mat_slope,maturity_slope
PARAMETERS,parameter,Eggs_scalar,eggs_scalar
PARAMETERS,parameter,Eggs_exp_len,eggs_exp_len
PARAMETERS,parameter,CohortGrowDev,cohort_grow_dev
PARAMETERS,parameter,FracFemale,proportion_female
PARAMETERS,parameter,SR_LN(R0),ln_recruitment_unfished
PARAMETERS,parameter,SR_BH_steep,beverton_holt_steepness
PARAMETERS,parameter,SR_sigmaR,sigma_recruitment
PARAMETERS,parameter,SR_regime,sr_regime
PARAMETERS,parameter,SR_autocorr,sr_autocorrelation
PARAMETERS,parameter,initial_age,
PARAMETERS,parameter,recruitment_deviations,
PARAMETERS,parameter,ForeRecr,recruitment
PARAMETERS,parameter,LnQ_base,ln_catchability_base
PARAMETERS,parameter,Q_extraSD,catchability_extra_sd
PARAMETERS,parameter,Size_DblN_peak,
PARAMETERS,parameter,Size_DblN_top_logit,
PARAMETERS,parameter,Size_DblN_ascend_se,
PARAMETERS,parameter,Size_DblN_descend_se,
PARAMETERS,parameter,Size_DblN_start_logit,
PARAMETERS,parameter,Size_DblN_end_logit,
PARAMETERS,parameter,Retain_L_infl,
PARAMETERS,parameter,Retain_L_width,
PARAMETERS,parameter,Retain_L_asymptote_logit,
PARAMETERS,parameter,Retain_L_maleoffset,
PARAMETERS,parameter,SzSel_Male_Peak,
PARAMETERS,parameter,SzSel_Male_Ascend,
PARAMETERS,parameter,SzSel_Male_Descend,
PARAMETERS,parameter,SzSel_Male_Final,
PARAMETERS,parameter,SzSel_Male_Scale,
PARAMETERS,length,Retain_L_infl,
PARAMETERS,length,Retain_L_width,
PARAMETERS,length,Retain_L_asymptote_logit,
PARAMETERS,length,Retain_L_infl,
PARAMETERS,length,Retain_L_width,
PARAMETERS,length,Retain_L_asymptote_logit,
FIT_LEN_COMPS,length,part,
FIT_LEN_COMPS,length,nsamp_in,
FIT_LEN_COMPS,length,nsamp_adj,
FIT_LEN_COMPS,length,nsamp_dm,
FIT_LEN_COMPS,length,effn,
FIT_LEN_COMPS,length,method,
FIT_LEN_COMPS,length,dm_parm,
FIT_LEN_COMPS,length,mv_t_parm,
FIT_LEN_COMPS,length,all_obs_mean,
FIT_LEN_COMPS,length,all_exp_mean,
FIT_LEN_COMPS,length,all_delta,
FIT_LEN_COMPS,length,all_exp,
FIT_LEN_COMPS,length,all_durwat,
FIT_LEN_COMPS,length,f_obs_mean,
FIT_LEN_COMPS,length,f_exp_mean,
FIT_LEN_COMPS,length,f_delta,
FIT_LEN_COMPS,length,f_exp,
FIT_LEN_COMPS,length,f_durwat,
FIT_LEN_COMPS,length,m_obs_mean,
FIT_LEN_COMPS,age,m_exp_mean,
FIT_LEN_COMPS,age,m_delta,
FIT_LEN_COMPS,age,m_exp,
FIT_LEN_COMPS,age,m_durwat,
FIT_LEN_COMPS,age,%f_obs,
FIT_LEN_COMPS,age,%f_exp,
FIT_AGE_COMPS,age,part,
FIT_AGE_COMPS,age,ageerr,
FIT_AGE_COMPS,age,lbin_lo,
FIT_AGE_COMPS,age,lbin_hi,
FIT_AGE_COMPS,age,nsamp_in,
FIT_AGE_COMPS,age,nsamp_adj,
FIT_AGE_COMPS,age,nsamp_dm,
FIT_AGE_COMPS,age,effn,
FIT_AGE_COMPS,age,all_obs_mean,
FIT_AGE_COMPS,age,all_exp_mean,
FIT_AGE_COMPS,age,all_delta,
FIT_AGE_COMPS,age,all_exp,
FIT_AGE_COMPS,age,all_durwat,
FIT_AGE_COMPS,age,f_obs_mean,
FIT_AGE_COMPS,age,f_exp_mean,
FIT_AGE_COMPS,age,f_delta,
FIT_AGE_COMPS,age,f_exp,
FIT_AGE_COMPS,age,f_durwat,
FIT_AGE_COMPS,age,m_obs_mean,
FIT_AGE_COMPS,length,m_exp_mean,
FIT_AGE_COMPS,length,m_delta,
FIT_AGE_COMPS,length,m_exp,
FIT_AGE_COMPS,length,m_durwat,
FIT_AGE_COMPS,length,%f_obs,
FIT_AGE_COMPS,growth,%f_exp,
LEN_SELEX,growth,Lsel,length_selectivity
LEN_SELEX,growth,Ret,retention
LEN_SELEX,growth,Mort,discard_mortality
LEN_SELEX,growth,Keep,keep
LEN_SELEX,growth,Dead,dead
Growth_Parameters,growth,a1,
Growth_Parameters,growth,a2,
Growth_Parameters,growth,l_a_a1,
Growth_Parameters,growth,l_a_a2,
Growth_Parameters,growth,k,
Growth_Parameters,growth,a_a_l0,
Growth_Parameters,growth,linf,
Growth_Parameters,growth,cvmin,
Growth_Parameters,growth,cvmax,
Growth_Parameters,growth,natm_amin,
Growth_Parameters,growth,natm_max,
Growth_Parameters,growth,m_age0,
Growth_Parameters,growth,m_nages,
Growth_Parameters,growth,wtlen1,
Growth_Parameters,population,wtlen2,
Growth_Parameters,,mat1,
Growth_Parameters,,mat2,
Growth_Parameters,,fec1,
Growth_Parameters,,fec2,
MEAN_BODY_WT(Begin),,mean_body_wt,
Dynamic_Bzero,,Dynamic_Bzero,
