"Year","Fleet HKL_Landings (mt)","Fleet HKL_SE","Fleet POT_Landings (mt)","Fleet POT_SE","Fleet TWL_Landings (mt)","Fleet TWL_SE"
NA,0,0.01,0,0.01,0,0.01
"1970",1653,0.01,114,0.01,2837,0.01
"1971",1228,0.01,181,0.01,2475,0.01
"1972",2810,0.01,273,0.01,3534,0.01
"1973",945,0.01,453,0.01,4273,0.01
"1974",1948,0.01,3180,0.01,3463,0.01
"1975",1593,0.01,8747,0.01,3949,0.01
"1976",1185,0.01,19308,0.01,3879,0.01
"1977",1522,0.01,3731,0.01,3480,0.01
"1978",1868,0.01,5859,0.01,4526,0.01
"1979",4535,0.01,12269,0.01,7105,0.01
"1980",1596,0.01,2987,0.01,4469,0.01
"1981",1981,0.01,3914,0.01,5524,0.01
"1982",1789,0.01,6574,0.01,10265,0.01
"1983",1181,0.01,6045,0.01,7426,0.01
"1984",1066,0.01,4500,0.01,8449,0.01
"1985",2909,0.01,3950,0.01,7273,0.01
"1986",3546,0.01,2986,0.01,6618,0.01
"1987",3946,0.01,2082,0.01,6574,0.01
"1988",3070,0.01,2146,0.01,5528,0.01
"1989",2438,0.01,2074,0.01,5772,0.01
"1990",2213,0.01,1679,0.01,5173,0.01
"1991",3458,0.01,1068,0.01,4975,0.01
"1992",3103,0.01,802,0.01,5456,0.01
"1993",2334,0.01,848,0.01,4964,0.01
"1994",2379,0.01,1371,0.01,3829,0.01
"1995",2996,0.01,1067,0.01,3852,0.01
"1996",3363,0.01,751,0.01,4203,0.01
"1997",3587,0.01,584,0.01,3771,0.01
"1998",1761,0.01,442,0.01,2170,0.01
"1999",2713,0.01,738,0.01,3170,0.01
"2000",2714,0.01,853,0.01,2689,0.01
"2001",2362,0.01,673,0.01,2596,0.01
"2002",1749,0.01,472,0.01,1568,0.01
"2003",2283,0.01,799,0.01,2213,0.01
"2004",2515,0.01,816,0.01,2411,0.01
"2005",2807,0.01,997,0.01,2399,0.01
"2006",2604,0.01,1053,0.01,2538,0.01
"2007",2060,0.01,688,0.01,2489,0.01
"2008",2301,0.01,675,0.01,2892,0.01
"2009",3274,0.01,863,0.01,3061,0.01
"2010",3379,0.01,910,0.01,2539,0.01
"2011",3231,0.01,1449,0.01,1724,0.01
"2012",2561,0.01,1179,0.01,1498,0.01
"2013",1865,0.01,846,0.01,1402,0.01
"2014",1868,0.01,1032,0.01,1256,0.01
